iteration,timestep,reward_first_0,reward_second_0
0,0,0.0,0.0
1,50000,3.0,-3.0
2,100000,0.4,0.0
3,150000,1.4,0.2
4,200000,2.2,0.0
5,250000,0.4,1.0
6,300000,0.4,1.0
7,350000,1.4,1.4
8,400000,1.0,1.0
9,450000,0.4,1.0
10,500000,1.2,1.2
11,550000,1.2,1.8
12,600000,0.4,2.0
13,650000,0.8,1.0
14,700000,0.8,1.0
15,750000,0.4,3.4
16,800000,0.6,1.2
17,850000,0.4,1.0
18,900000,5.0,1.0
19,950000,0.6,1.0
